id,Applicants MCC Licence No,Applicant Name,MCC Medicine Reg No ,Nappi Code,ATC 4 ,Medicine Schedule,Proprietary Name,Active Ingredients,Strength,Unit,Dosage Form,Pack Size,Quantity,Manufacturer Price,Logistics Fee,VAT,SEP,Unit Price,Effective Date,Status,Originator or Generic,Volume of Sales,,,
1,125,Abbott Laboratories SA Pty Ltd,35/4/0193,700642006,N01BB,S4,Chirocane 10ml  ,Levobupivacaine,5,mg/ml,INJ,10,10,484.23,23.39,71.07,578.69,5.79,01 July 2014,,Originator,,,,
2,125,Abbott Laboratories SA Pty Ltd,35/4/0194,700644001,N01BB,S4,Chirocane 10ml  ,Levobupivacaine,7.5,mg/ml,INJ,10,10,598.1,29.49,87.86,715.46,7.15,01 July 2014,,Originator,,,,
3,125,Abbott Laboratories SA Pty Ltd,35/20.2.8/0254,700922003,J05AE,S4,Kaletra,Lopinavir,133.3,mg,CAP,180,1,348.11,29.71,52.9,430.71,2.39,27 March 2014,,Originator,,,,
4,,,,,,,,Ritonavir,20,mg,,,,,,,,,,,,,,,
5,125,Abbott Laboratories SA Pty Ltd,35/20.2.28/0255,700924019,J05AE,S4,Kaletra,Lopinavir,80,mg,SOL,60,5,211.64,18.05,32.16,261.85,0.87,01 July 2014,,Originator,,,,
6,,,,,,,,Ritonavir,20,mg,,,,,,,,,,,,,,,
7,125,Abbott Laboratories SA Pty Ltd,34/2.9/0239,702992002,N01AB,S5,Precedex,Dexmedetomidine hydrochloride,100,mcg/ml,INJ,2,5,2953.4,156.52,435.39,3545.31,354.53,01 July 2014,,Originator,,,,
8,125,Abbott Laboratories SA Pty Ltd,X/20.1.1/229,704032001,J01FA,S4,Clacee 250mg,Clarithromycin,250,mg,TAB,10,1,60.02,10.6,9.89,80.51,8.05,27 March 2014,,Generic,,,,
9,125,Abbott Laboratories SA Pty Ltd,29/20.1.1/0163,704033001,J01FA,S4,Clacee 500mg,Clarithromycin,500,mg,TAB,10,1,63.5,11.2,10.45,85.15,8.51,27 March 2014,,Generic,,,,
10,125,Abbott Laboratories SA Pty Ltd,29/20.1.1/0163,704033002,J01FA,S4,Clacee 500mg,Clarithromycin,500,mg,TAB,14,1,88.89,15.68,14.64,119.22,8.51,27 March 2014,,Generic,,,,
